name	type	shape	n_elements	n_bytes
output.weight	Q8_0	5120,248320	1271398400	1350860800
output_norm.weight	F32	5120	5120	20480
token_embd.weight	Q8_0	5120,248320	1271398400	1350860800
blk.64.attn_k.weight	Q8_0	5120,1024	5242880	5570560
blk.64.attn_k_norm.weight	F32	256	256	1024
blk.64.attn_norm.weight	F32	5120	5120	20480
blk.64.attn_output.weight	Q8_0	6144,5120	31457280	33423360
blk.64.attn_q.weight	Q8_0	5120,12288	62914560	66846720
blk.64.attn_q_norm.weight	F32	256	256	1024
blk.64.attn_v.weight	Q8_0	5120,1024	5242880	5570560
blk.64.ffn_down.weight	Q8_0	17408,5120	89128960	94699520
blk.64.ffn_gate.weight	Q8_0	5120,17408	89128960	94699520
blk.64.ffn_up.weight	Q8_0	5120,17408	89128960	94699520
blk.64.nextn.eh_proj.weight	Q8_0	10240,5120	52428800	55705600
blk.64.nextn.enorm.weight	F32	5120	5120	20480
blk.64.nextn.hnorm.weight	F32	5120	5120	20480
blk.64.nextn.shared_head_norm.weight	F32	5120	5120	20480
blk.64.post_attention_norm.weight	F32	5120	5120	20480
